Clima,Conocimiento_sobre_plantas,Especie_planta,Mantiene_Planta_Tóxica,Tiempo_de_dedicacion,Preferencia_tonos,Tipo_vivienda,Toxic_Yes
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Cinta,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Costilla de Adán,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Cactus de Navidad,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Pothos,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Crasula/ Suculenta de Jade,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Aloe vera,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Haworthia,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Aeonium,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Echeveria,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Lavanda,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Geranio,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Petunia,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Caléndula,No,Cuando me acuerdo,Fríos,Chalet,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Helecho de Boston,No,La verdad que no,Me es indiferente,Apartamento,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Filodendro,No,La verdad que no,Me es indiferente,Apartamento,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Cactus de jade,No,La verdad que no,Me es indiferente,Apartamento,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Crasula/ Suculenta de Jade,No,La verdad que no,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Orquídea phalaenopsis,Sí,Les hago bastante caso,Me es indiferente,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Petunia,Sí,Les hago bastante caso,Me es indiferente,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Fucsia,Sí,Les hago bastante caso,Me es indiferente,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Begonia,Sí,Les hago bastante caso,Me es indiferente,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Cinta,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Filodendro,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Costilla de Adán,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Peperomia,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Palo de Brasil,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Ficus lyrata,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Orquídea phalaenopsis,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Ficus benjamina,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Aloe vera,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Agave,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Palmera de bambú,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Nephthytis,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Dracaena marginata,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Croton,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Salvia,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Astilbe,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Geranio,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Petunia,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Caléndula,Sí,Les hago bastante caso,Fríos,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Tradescantia,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Fittonia,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Cactus de Navidad,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Violeta africana,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Orquídea phalaenopsis,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Ficus benjamina,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Aloe vera,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Sedum,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Kalanchoe,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Hiedra inglesa,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Nephthytis,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Lavanda,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Salvia,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Geranio,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Petunia,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Fucsia,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Caléndula,Sí,Les hago bastante caso,Cálidos,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Filodendro,Sí,Les hago bastante caso,Me es indiferente,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Violeta africana,Sí,Les hago bastante caso,Me es indiferente,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Pothos,Sí,Les hago bastante caso,Me es indiferente,Chalet,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Me he informado bastante,Aloe vera,Sí,Les hago bastante caso,Me es indiferente,Chalet,1.0
Templado ,Tengo nociones básicas,Peperomia,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Palo de Brasil,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Pothos,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Planta de serpiente/ Espada de San Jorge,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Ficus lyrata,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Cactus de jade,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Crasula/ Suculenta de Jade,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Sedum,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Philodendron,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
Templado ,Tengo nociones básicas,Lavanda,No,Les hago bastante caso,Me es indiferente,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Filodendro,No,Todos los días compruebo su estado,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Palo de Brasil,No,Todos los días compruebo su estado,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Ficus benjamina,No,Todos los días compruebo su estado,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Espatifilo,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Cactus de Navidad,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Violeta africana,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Sedum,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Kalanchoe,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Palmera de bambú,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Lavanda,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Petunia,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Cinta,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Filodendro,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Costilla de Adán,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
